PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Distance to buildings,Distance to road,Direction to building,Direction to road
4723730A01,04/01/11,01:06:00 PM,"EVL, GG",Rattlesnake,,Sight,Yes,Den 6,3D diff,200,5.3,544,322937,5435291,242,Rock slide,"Cloudy, Cool",9/9,14.3,18.9,,,,,,,,Female,Adult,,"Pine Green, Red, Royal blue",NO,Sighting,,,,,Sight only,On the move,2011-001,Sight,50+,50+,W,W
sight,04/11/11,03:38:00 PM,EVL,Rattlesnake,,Sight,No,Den06,3D diff,2,2.1,544,322935,5435289,244,"rock, Rock slide","Warm, Windy",4/9,22.2,30.03,"Out basking at den with 27 other rattlers

weighed only",16,,,450,100,350,,Adult,,None,NO,Weighed only,11/04/11,04:00:00 PM,EVL,,At capture location,"Coiled, Basking",2011-002,Sight,50+,50+,W,W
4C133C2243,04/12/11,02:48:00 PM,EVL HW,Rattlesnake,,Sight,No,Den06,3D diff,10,5,547,322934,5435288,245,"Rock slide, rocks, den","Cool, breeze, Sunny",1/9,18.9,26,,3,81,4.2,410,95,315,Female,Adult,No,Blue (polish),YES,"Rattle broken off, one segment painted",12/04/11,03:28:00 PM,"EVL, HW",,At capture location,Coiled,2011-003,Capt,50+,50+,W,W
4551444D03,04/12/11,02:56:00 PM,"EVL, HW",Rattlesnake,,Sight,Yes,Den06,3D diff,10,5,547,322935,5435288,246,"Rock slide, rocks, den","breeze, Sunny, Cool",2/9,18.9,26,,16,66.6,5.4,280,95,185,,Adult,No,"Citrus green, Lt blue, Royal blue",YES,Pic 101-6760,12/04/11,03:30:00 PM,"EVL, HW",,At capture location,Coiled,2011-004,Capt,50+,50+,W,W
4C133D547D,04/12/11,03:19:00 PM,"EVL, HW",Rattlesnake,,Sight,No,Den06,3D diff,10,5,546,322934,5435289,247,"Rock slide, rocks, den","Cool, breeze, Sunny",2/9,18.9,26,,16,52.5,3.5,215,95,120,Female,Sub Adult,No,"Blue (polish), Blue (polish), Daisy cream",YES,101-6760,12/04/11,03:30:00 PM,"EVL, HW",,At capture location,Coiled,2011-005,Capt,50+,50+,W,W
4C133B2412,04/12/11,04:06:00 PM,"EVL, HW",Rattlesnake,,Sight,No,Den06,3D diff,10,5,548,322933,5435289,248,"Rock slide, rocks, den","Cool, breeze, Sunny",2/9,18.9,26,,16,50,2.9,165,95,70,Female,Sub Adult,No,"Blue (polish), Blue (polish), Gold",YES,1016763,12/04/11,03:30:00 PM,"EVL, HW",,At capture location,Coiled,2011-006,Capt,50+,50+,W,W
4C13301D2E,04/12/11,04:19:00 PM,"EVL, HW",Rattlesnake,,Sight,No, Den06,3D diff,10,5,548,322933,5435288,249,"Rock slide, rocks, den","Cool, breeze, Sunny",2/9,18.9,26,,16,61.1,4,225,95,130,Female,Sub Adult,No,"Blue (polish), Blue (polish), Citrus green",YES,1016764,12/04/11,03:30:00 PM,"EVL, HW",,At capture location,Coiled,2011-007,Capt,50+,50+,W,W
4C133B1B24,04/12/11,04:40:00 PM,"EVL, HW",Rattlesnake,,Sight,No,Den06,3D diff,10,5,547,322932,5435289,250,"Rock slide, rocks, den","Cool, breeze, Sunny",2/9,18.9,26,,16,71.8,5.9,345,95,250,Male,Adult,NA,"Blue (polish), Blue (polish), Pine Green",YES,1016765,12/04/11,03:30:00 PM,"EVL, HW",,At capture location,Coiled,2011-008,Capt,50+,50+,W,W
4C133D3D62,04/12/11,04:53:00 PM,"EVL, HW",Rattlesnake,,Sight,No,Den06,3D diff,10,5,545,322933,5435290,251,"Rock slide, rocks, den","Cool, breeze, Sunny",2/9,18.9,26,,16,58.5,3,249,95,154,Female,Adult,No,"Blue (polish), Blue (polish),  Aqua green",YES,1016766,12/04/11,03:30:00 PM,"EVL, HW",,At capture location,Coiled,2011-009,Capt,50+,50+,W,W
4C133A3256,04/12/11,05:07:00 PM,"EVL, HW",Rattlesnake,,Sight,No,Den06,3D diff,10,5,545,322933,5435290,252,"Rock slide, rocks, den","Cool, breeze, Sunny",2/9,18.9,26,,16,51,4,180,95,85,Male,Sub Adult,NA,"Blue (polish), Blue (polish), Car pink",YES,1016767,12/04/11,05:10:00 PM,"EVL, HW",,At capture location,Coiled,2011-010,Capt,50+,50+,W,W
