Categories,PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type
Unfiled,4845510D3D,05/07/2007,02:32 PM,"OMM, LG",Rattlesnake,,Sight,Yes,Spirit Ridge,3D diff,40,7.1,323,322158,5434661,CO25070507-512,Building,"Overcast, Warm",100,0,0,First time seen since 2005 neonate,"Blue, pink zig zag pattern",60.2,0,271,103,168,Male,Adult,NA,"Daisy cream, Red, Deep aqua",Yes,,05/11/2007,04:32 PM,"OMM, LG",4,"321994
5435253
326

Moved from Spirit Ridge",On the move,2007-25,Capt
Unfiled,45505D7573,05/07/2007,03:34 PM,"OMM, LG",Rattlesnake,,Sight,Yes,Village,3D diff,125,5,330,322050,5435286,CO26070507,"Pine stand, Grassland","Thin Cirrus overcast, Warm",75,25,25,,Blue flowers,0,0,319,111,208,Male,Adult,NA,"Fiesta yellow, Pt purple, Blue bell",Yes-26.27.29,,05/10/2007,10:00 AM,OMM,3,"High Desert
321916
5435490
338 alt
",On the move,2007-26,Capt
Unfiled,484B7D7C77,05/08/2007,03:09 PM,"OMM, LG",Rattlesnake,,Sight,No,Snake fence - opp. boat rental,3D diff,125,2,300,321535,5434916,CO27080507,"Shrub-steppe,, Sand","Windy, Cloudy",75,31.2,31.5,"Very strong, hot dry wind in afternoon",Troll doll,59,4.1,234,93,141,Female,Neonate,No,"Daisy cream, Red, Lt blue",Yes,Blood taken,05/10/2007,11:35 AM,"OMM, LG",2,"322000
5435021
elv. 310","Coiled, Under sage brush",2007-27,Capt
Unfiled,456F102247,05/08/2007,03:28 PM,"OMM, , LG",Rattlesnake,,Sight,Yes,Snake fence - opp. boat rental,3D diff,111,4,298,321580,5434828,CO28080507,"Shrub-steppe, Sand","Windy, Cloudy",75,32.8,32.7,"Very strong, hot dry wind","Blue, yellow and pink flowers",70.5,5.7,336,105,231,Male,Adult,NA,"Fuchsia, Fiesta yellow, Tango blue",Yes,,05/09/2007,11:25 AM,"OMM, LG",1,"322000
5435021
elv. 310",Under sage brush,2007-28,Capt
Unfiled,4530171665,05/08/2007,03:40 PM,"OMM, LG",Rattlesnake,,Sight,Yes,Snake fence - opp. boat rental,3D diff,170,5,297,321609,5434780,CO28080507,"Shrub-steppe, Sagebrush","Windy, Cloudy",75,31.7,31.1,"Hot, strong dry wind",Brown blue stripes,59.98,3.1,244,121,123,Female,Adult,No,"Fuchsia, Daisy cream, Royal blue",Yes,Tried blood not working,05/09/2007,11:21 AM,"OMM, LG",1,"322000
5435021
elv. 310",Under sage brush,2007-29,
Unfiled,4308490F42,05/08/2007,04:02 PM,"OMM, LG",Rattlesnake,,Sight,Yes,Horse gate - snake fence,3D diff,105,8,300,321794,5434641,C30080507,"Riparian, Sand","Windy, Cloudy",75,29.5,28,Hot strong dry wind,"Pink flowers, pink band",72.3,5.2,385,128,257,Male,Adult,NA,"Royal blue, Fiesta yellow",,Caught 2007-02,05/09/2007,11:26 AM,"OMM, LG",1,"322000
5435021
elv. 310",On the move,2007-30,Capt
Unfiled,48433C7177,05/09/2007,01:15 PM,"OMM, LG",Rattlesnake,,Sight,No,Den 25,3D diff,75,4,376,320985,5436641,CO31090507,"Rock slide, Rock pile",Sunny,10,26,27.1,,White with yellow flowers,69.5,5.2,334,106,228,Male,Adult,NA,"Daisy cream, Red, Blue bell",Yes,Blood drawn,05/11/2007,11:00 AM,"OMM, LG",2,At capture location,"Coiled, Basking",2007-31,Capt
Unfiled,Juvenile,05/09/2007,04:44 PM,LG,Rattlesnake,,Sight,No,Village,3D diff,40,3.2,335,322062,5435351,Co32080507," Shrub-steppe, Sagebrush",Sunny,10,23.1,21.5,,Blue flowers,0,1.9,120,92,28,, Juvenile,NA,"Daisy cream, Red, Car pink",Yes,,05/10/2007,11:35 AM,LG,1,At capture location,"Stretched out, Basking",2007-32,Capt
Unfiled,43133B161B,05/11/2007,12:16 PM,"OMM, LG",Rattlesnake,,Sight,Yes,Snake fence-opp. office,3D diff,100,4.6,296,321597,5434789,CO33110507,"Shrub-steppe, Sagebrush","Sunny, Hazy",0,27.4,27.3,,"Yellow, green, red, blue stripe",66.7,3.6,287,80,207,Female,Adult,No,"Daisy cream, Fiesta yellow, Fiesta yellow",Yes,Could feel 1 lump of a meal,05/11/2007,04:51 PM,"OMM, LG",,"321994
5435253
326

Moved from snake fence",Under sage brush,2007-33,Capt
Unfiled,4530732C10,05/14/2007,09:00 AM,Construction staff,Rattlesnake,,Sight,Yes,Desert Centre,,75,5,316,322073,5434933,Co34140507,"Shrub-steppe, Sagebrush",Sunny,0,0,0,,Yellow flowers,0,6.1,411,124,287,Male,Adult,NA,"Fuchsia, Citrus green, Pt purple",Yes-dsc3093-4,,,12:00 AM,,,"Mortality - manhandled by construction staff
",On the move,2007-34,Capt
Unfiled,CO36140507,05/14/2007,04:04 PM,"OMM, LG",Rattlesnake,,Sight,No,Snake fence-opp. office,3D diff,25,2.7,299,321598,5434787,CO36140507,"Shrub-steppe, Antelope brush","Sunny, Hazy",,28.3,29.6,,Blue yellow pink flowers,0,1.4,114,103,11,,Neonate,NA,,3098-3100,,05/16/2007,11:00 AM,"OMM, LG",2,Village riperian,Shade of antelope brush,2007-35,Capt
Unfiled,456F102247,05/14/2007,04:08 PM,"OMM, LG",Rattlesnake,,Sight,No,Snake fence-opp. office,3D diff,25,2.7,299,321598,5434787,CO36140507,"Shrub-steppe, Antelope brush","Sunny, Hazy",10,28.3,29.6,,Pink band and flowers,0,5.7,347,115,232,Male,Adult,NA,Royal blue,,Became a transmitter snake - Heckla,05/20/2007,01:00 PM,OMM,6,Village riperian,Shade of antelope brush,2007-36,Capt
Unfiled,4559323E6B,05/16/2007,10:41 AM,"OMM, LG",Rattlesnake,,Sight,Yes,A-1 Coverboard,3D diff,160,4.6,304,321771,5434664,CO37160507,"Shrub-steppe, Antelope brush","Hazy, Thin Cirrus overcast",100,28.9,29.1,,Trolldoll,0,0,347,86,261,Male,Adult,NA,Trans. Blue,,Became trans. snake - Pembina,05/20/2007,01:00 PM,OMM,4,Village Riperian,On the move,2007-37,Capt
Unfiled,43604A3027,05/16/2007,06:30 PM,Construction staff,Rattlesnake,,Sight,Yes,Horse stables,3D diff,120,9.2,300,321794,5434535,CO38160507,Horse stables,Sunny,0,0,0,Mr Wick,"Brown, blue stripe",73,6.1,396,101,295,Male,Adult,NA,Royal blue,,,05/22/2007,03:10 PM,"OMM, LG",6,Village riperian,On the move,2007-38,Capt
Unfiled,4530662F73,05/17/2007,03:51 PM,CG staff,Rattlesnake,,Sight,Yes,Campground Site 227,3D diff,131,5.3,285,321314,5435347,Co39180507,CG,"Warm, Sunny",25,0,0,"Sand collapsed at fence, leaving small hole.  This was from horses walking up the slope.",Dark blue,0,0,392,100,292,Male,Adult,NA,"Daisy cream, Royal blue",,Swarakxen,05/22/2007,03:12 PM,"OMM, LG",5,Village Riperian,On the move,2007-39,07recap
Unfiled,Neonate,05/20/2007,10:47 AM,CG staff,Rattlesnake,,Sight,,Campground,3D diff,120,3.8,288,321347,5435300,CO40200507,CG,"Warm, Sunny",25,0,0,,Blue flowers,25.5,1.8,106,92,14,,Neonate,NA,Daisy cream,3118-3117,,05/22/2007,03:11 PM,"OMM, LG",2,Village Riperian,On the move,2007-40,Capt
Unfiled,485F62063F,05/22/2007,11:41 AM,OMM,Rattlesnake,,Sight,Yes,Snake fence - CB B-3,3D diff,60,2.6,314,321718,5434689,,"Shrub-steppe, Antelope brush","Sunny, Windy",10,0,0,,Pink rose,63.15,3.4,274,105,169,Female,Adult,No,"Fuchsia, Fuchsia, Citrus green",Yes,PIT Tag lost -was 44621C1F4C,05/26/2007,10:11 AM,OMM,4,"Village Riperian
",Stretched out,2007-41,Capt
Unfiled,43610F2921,05/23/2007,02:26 PM,OMM,Rattlesnake,,Sound,Yes,Snake fence - opp. boat rental,3D diff,110,3.9,298,321590,5434804,CO42230507,"Shrub-steppe, Sagebrush","Warm, Cloudy",75,26.8,28.3,,Indian zig-zag,61.3,3.8,249,14,235,Female,Adult,No,"Lt blue, Fuchsia, Fiesta yellow",,,05/26/2007,10:14 AM,OMM,3,"Village riperian
",Under sage brush,2007-42,Capt
Unfiled,4847294847,05/23/2007,03:50 PM,"OMM, LG",Rattlesnake,,Sight,No,High desert,3D diff,25,5,341,321821,5435266,CO42230507,"Shrub-steppe, Antelope brush",Overcast,75,26.5,27.3,,Pink with pink flowers,54.7,4.2,247,127,120,Male,Sub Adult,NA,"Daisy cream, Red, Fuchsia",Yes,,05/30/2007,10:00 AM,OMM,7,"High Desert
321916
5435490
338 alt
",Under antelope brush,2007-43,Capt
Unfiled,485E780510,05/25/2007,01:41 PM,CG staff,Rattlesnake,,Sight,No,"Spirit Beach Marina, ",3D diff,175,4.6,284,321454,5434817,CO44250507,CG,"Warm, Thin Cirrus overcast",75,0,0,,Green ivy pattern,55.7,4.5,252,88,164,Male,Adult,NA,"Daisy cream, Pt purple, Red",Yes,,05/26/2007,10:05 AM,OMM,1,Village riperean,On the move,2007-44,Capt
Unfiled,445E08097F,05/28/2007,11:39 AM,"OMM, LG",Rattlesnake,,Sight,Yes,New Condo Constr.,3D diff,31,4,334,322213,5434780,C044280507,"Shrub-steppe, Sagebrush, GC","Windy, Warm",10,23.6,21.5,Strong wind,Blue pink zig-zag - B,65.9,5.9,322,102,220,Male,Adult,NA,"Fuchsia, Red, Citrus green",Yes,Blood tried not sccessful,05/30/2007,10:00 AM,LG,2,Village Riperian,"Looped, Under sage brush",2007-45,Capt
Unfiled,CO46030607,06/03/2007,09:36 AM,CG Staff,Rattlesnake,,,No,"Campground, near Lennies Trailer",3D diff,80,3.9,284,321399,5435165,CO46030607,CG,"Warm, Clear",0,0,0,,Grey,0,1.7,113,97,16,,Neonate,NA,Daisy Cream,,,06/04/2007,01:00 PM,"OMM, LG",1,"Village riperian
321994
5435272
345 alt",On the move,2007-46,
Unfiled,433E490243,06/03/2007,10:40 AM,OMM,Rattlesnake,,,No,Campground Marina,3D diff,0,0,0,3211490,5434586,CO47030607,"CG, Lakeshore","Warm, clear",0,27.9,26.1,Found by visitors swimming around bouys at marina,Pink rose Flowers,61.8,4.3,277,103,174,Female,adult,No,"Royal blue,Fiesta yellow",Yes,Ribeye - used to carry transmitter.  Last seen same day in 2005,06/06/2005,01:00 PM,"OMM, LG",,"Village riperian
321994
5435272
345 alt",Coiled,2007-47,
Unfiled,445C74086A,06/03/2007,08:30 PM,CG Staff - Lennie,Rattlesnake,,,No,Marina,3D diff,0,0,0,322,543,,CG Marina,"Hot, Cloudy",25,0,0,,Yellow rose Flowers,60.8,3.9,268,106,162,Female,Adult,No,"Fuschia, Daisy Cream, Deep aqua",Yes,,06/03/2007,10:00 AM,OMM,,"High Desert
321916
5435490
338 alt
",On the move,2007-48,
Unfiled,456F102247,06/04/2007,10:54 AM,OMM,,,,,CampGround  Marina,3D diff,10,2.5,280,321427,5434788,CO49040607,CG Marina,"Cloudy, Warm",75,26,26.4,Light Rain showers,Pink Blue Green fuzzy rose,0,0,302,77,225,Male,,NA,Trans Blue,,Heckla - Trans Snake,06/06/2005,01:00 PM,"OMM, LG",,"Village riperian
321994
5435272
345alt
",On the move,2007-49,07recap
